"year","scientific_name","n"
2000,"American Elm",2
2000,"Eastern Hemlock",1
2000,"Ginkgo",38
2000,"Green Ash",4
2001,"American Elm",6
2001,"Ginkgo",27
2001,"Green Ash",2
2001,"Japanese Zelkova",1
2002,"American Elm",13
2002,"Ginkgo",12
2002,"Green Ash",4
2003,"American Elm",3
2003,"Ginkgo",22
2003,"Green Ash",2
2004,"American Elm",5
2004,"Ginkgo",13
2005,"American Elm",4
2005,"Eastern Hemlock",1
2005,"Ginkgo",13
2005,"Green Ash",1
2006,"American Elm",1
2006,"Ginkgo",26
2006,"Green Ash",2
2007,"American Elm",5
2007,"Ginkgo",13
2007,"Green Ash",1
2008,"American Elm",7
2008,"Ginkgo",29
2008,"Green Ash",2
2008,"Japanese Zelkova",2
2009,"American Elm",4
2009,"Eastern Hemlock",3
2009,"Ginkgo",14
2009,"Green Ash",2
2010,"American Elm",8
2010,"Eastern Hemlock",1
2010,"Ginkgo",12
2011,"American Elm",6
2011,"Ginkgo",12
2012,"American Elm",4
2012,"Ginkgo",16
2013,"Ginkgo",14
2013,"Green Ash",1
2014,"American Elm",2
2014,"Eastern Hemlock",2
2014,"Ginkgo",13
2014,"Green Ash",3
2014,"Japanese Zelkova",1
2015,"American Elm",1
2015,"Ginkgo",18
2016,"American Elm",1
2016,"Ginkgo",9
2016,"Green Ash",1
2017,"American Elm",4
2017,"Ginkgo",3
2018,"Ginkgo",15
2019,"Eastern Hemlock",1
2019,"Ginkgo",19
2019,"Japanese Zelkova",1
2020,"Ginkgo",15
2020,"Green Ash",1
2020,"Japanese Zelkova",1
2021,"American Elm",1
2021,"Ginkgo",16
2021,"Green Ash",1
2022,"American Elm",1
2022,"Eastern Hemlock",1
2022,"Ginkgo",11
